[ 2012-09-30T11:51:08+08:00 ] /Ibike/ | ERR: (ThinkException) �������ӷ���һ��ʱ���û����ȷ�𸴻����ӵ�����û�з�Ӧ�����ӳ���ʧ�ܡ�
[ 2012-09-30T11:51:42+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.031274s ]
[ 2012-09-30T11:51:42+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.057349s ]
[ 2012-09-30T11:51:42+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.051183s ]
[ 2012-09-30T11:51:42+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.044736s ]
[ 2012-09-30T11:51:42+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.185187s ]
[ 2012-09-30T11:51:42+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T11:51:42+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.050629s ]
[ 2012-09-30T11:51:42+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.050833s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000810s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000945s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.005689s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000892s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.000890s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000790s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000875s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010642s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010744s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000589s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000628s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000443s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000634s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002518s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000676s ]
[ 2012-09-30T11:51:49+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000753s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000792s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000923s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.006026s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000461s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.000939s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000792s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000891s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.010302s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010404s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000592s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000619s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000444s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000653s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002531s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000674s ]
[ 2012-09-30T11:51:50+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000749s ]
[ 2012-09-30T11:51:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-30T11:51:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.037990s ]
[ 2012-09-30T11:51:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.038213s ]
[ 2012-09-30T11:51:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T11:51:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002046s ]
[ 2012-09-30T11:51:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002279s ]
[ 2012-09-30T11:51:55+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001256s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001410s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.038075s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000999s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.031656s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001637s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001731s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013335s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013439s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000963s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.001014s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000817s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000916s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003964s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000963s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001046s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-30T12:56:35+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001308s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001444s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T12:56:35+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001149s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001268s ]
[ 2012-09-30T12:56:35+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001163s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001314s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.007434s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user`  [ RunTime:0.003278s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000513s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.001072s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001487s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001581s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.012602s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012705s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000847s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000906s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000703s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000902s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003603s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000925s ]
[ 2012-09-30T12:58:22+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001007s ]
[ 2012-09-30T12:58:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-30T12:58:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001695s ]
[ 2012-09-30T12:58:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001869s ]
[ 2012-09-30T12:58:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T12:58:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001808s ]
[ 2012-09-30T12:58:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001922s ]
[ 2012-09-30T12:58:23+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001082s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001216s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | NOTIC: [8] Use of undefined constant “Page” - assumed '“Page”' IndexAction.class.php 第 7 行.
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.008084s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user`  [ RunTime:0.002981s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_user` LIMIT 1   [ RunTime:0.000924s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user` LIMIT 0,5   [ RunTime:0.001413s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001405s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001496s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013201s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013340s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000850s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000895s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000694s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000911s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003588s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000965s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001044s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-30T12:58:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001467s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001605s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T12:58:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001065s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001150s ]
[ 2012-09-30T12:58:54+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001387s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001533s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.007733s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user`  [ RunTime:0.004563s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001460s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001585s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: list 7e4848229090366086cc7eeb3bfc0798.php 第 6 行.
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: page 7e4848229090366086cc7eeb3bfc0798.php 第 9 行.
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.012782s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012861s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000825s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000907s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001271s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000941s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004198s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000932s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001012s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-30T13:04:21+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001855s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002016s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T13:04:21+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000935s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001023s ]
[ 2012-09-30T13:04:21+08:00 ] /Ibike/index.php/Public/verify | NOTIC: [8] Use of undefined constant png - assumed 'png' PublicAction.class.php 第 15 行.
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000790s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000930s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.007597s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | SQL: SELECT * FROM `think_user`  [ RunTime:0.004868s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --START--
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001126s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001240s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --START--
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: list 7e4848229090366086cc7eeb3bfc0798.php 第 6 行.
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | NOTIC: [8] Undefined variable: page 7e4848229090366086cc7eeb3bfc0798.php 第 9 行.
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013651s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013731s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --START--
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Run ContentReplace Behavior [ RunTime:0.000843s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Run TokenBuild Behavior [ RunTime:0.000910s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000717s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000972s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003681s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --START--
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000935s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001013s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2012-09-30T13:04:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001339s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001484s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2012-09-30T13:04:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000836s ]
[ 2012-09-30T13:04:23+08:00 ] /Ibike/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000915s ]
